molecular_weight,XLogP,Hydrogendonorcount,HydrogenAcceptorCount,RotatableBondCount,Mass,MonoIsotopicMass,PolarSurfaceArea,AtomCount,FormalCharge,Complexity,IsotopeAtomCount,AtomStereoCenterCount,BondStereoCenterCount,CovalentBondCount,VaporPressure,Molecule_Name,logBB
74.12,0.9,1,1,2,74.073164938,74.073164938,20.2,5,0,13.1,0,0,0,1,15.51,tertiary-Amyl methyl ether,0.17
164.96,2.2,0,3,2,163.9607265,163.9607265,9.2,8,0,75.7,0,0,0,1,20,Methoxyflurane,0.12
44.05,-0.1,0,1,0,44.026214747,44.026214747,12.5,3,0,10.3,0,0,0,1,1095,Isoflurane,0.19
58.08,-0.1,0,1,0,58.041864811,58.041864811,17.1,4,0,26.3,0,0,0,1,180,Enflurane,0.14
86.13,0.9,0,1,2,86.073164938,86.073164938,17.1,6,0,47.9,0,0,0,1,12,sevoflurane,0.3
116.16,1.8,0,2,3,116.083729621,116.083729621,26.3,8,0,76.6,0,0,0,1,20.68,Ethylene Oxide,0.01
78.11,2.1,0,0,0,78.0469501914,78.0469501914,0,6,0,15.5,0,0,0,1,60,Fluroxene,0.14
106.16,3.2,0,0,0,106.078250319,106.078250319,0,8,0,48.4,0,0,0,1,10,Divinyl ether (vinyl ether),0.13
180.55,3.8,0,3,0,179.9953623,179.9953623,0,11,0,124,0,0,0,1,1,Acetone,-0.17
53.06,0.2,0,1,0,53.0265491,53.0265491,23.8,4,0,54.9,0,0,0,1,100,2-Butanone (Methyl ethyl ketone),-0.17
285.34,0.8,2,4,0,285.13649347,285.13649347,52.9,21,0,494,0,5,0,1,1.80E-10,2-pentanone,-0.01
202.25,4.9,0,0,0,202.078250319,202.078250319,0,16,0,217,0,0,0,1,2.6,Methyl acetate,-0.13
86.18,3.9,0,0,3,86.109550447,86.109550447,0,6,0,12,0,0,0,1,120,Ethyl acetate,0
89.09,-3,2,3,1,89.047678466,89.047678466,63.3,6,0,61.8,0,1,0,1,1.05E-07,Propyl acetate,0.12
114.23,3.9,0,0,5,114.140850574,114.140850574,0,8,0,25,0,0,0,1,10,Butyl acetate,0.28
133.4,2.4,0,0,0,131.930033,131.930033,0,5,0,26.4,0,0,0,1,100,Pentyl acetate,0.4
74.12,0.5,1,1,0,74.073164938,74.073164938,20.2,5,0,25.1,0,0,0,1,31,Isopropyl acetate,0.4
88.15,0.9,0,1,1,88.088815002,88.088815002,9.2,6,0,33.7,0,0,0,1,249.98,Isobutyl acetate,0.45
184.49,2.1,0,6,3,183.9714332,183.9714332,9.2,10,0,107,0,0,0,1,175,Isopentylacetate,0.55
168.04,2.6,0,7,2,168.00098366,168.00098366,9.2,10,0,97.7,0,0,0,1,88.53,Benzene,0.2
